,"Propinsi, Kab/Kota","Kecamatan, Desa/Kel",Alamat,Koordinat
0,"JAWA TIMUR, KAB. BONDOWOSO","CURAHDAMI, KUPANG",DUSUN SLETRENG,"-7.90431973, 113.81108178"
1,"JAWA TIMUR, KAB. BONDOWOSO","CURAHDAMI, JETIS",PENANGGUAN,"-7.90432526, 113.81105228"
2,"JAWA TIMUR, KAB. BONDOWOSO","CURAHDAMI, PONCOGATI",DUSUN KRAJAN,"-7.9036822, 113.8002227"
3,"JAWA TIMUR, KAB. GRESIK","MANYAR, NGAMPEL",NGAMPEL,"-7.05941030289978, 112.561343293637"
4,"JAWA TIMUR, KAB. BONDOWOSO","BINAKAL, SUMBER TENGAH",DUSUN KRAJAN,"-7.8954154, 113.7835495"
5,"JAWA TIMUR, KAB. BONDOWOSO","CERMEE, RAMBAN WETAN",DSN SUMUR TANTO,"-7.9042141, 113.8110567"
6,"JAWA TIMUR, KAB. BONDOWOSO","BINAKAL, JERUKSOKSOK",DUSUN MASJID,"-7.8966358, 113.7262801"
7,"JAWA TIMUR, KAB. GRESIK","CERME, DAMPAAN",DAMPAAN,"-7.24353410303593, 112.526268130168"
8,"JAWA TIMUR, KAB. BONDOWOSO","PUJER, MENGOK",MENGOK,"-7.9635512, 113.8419281"
9,"JAWA TIMUR, KAB. BONDOWOSO","PUJER, PADASAN",PADASAN,"-7.9348282, 113.8783648"
10,"JAWA TIMUR, KAB. BONDOWOSO","SUMBERWRINGIN, SUMBERWRINGIN",KRAJAN III,"-7.98262166666667, 113.995236666667"
11,"JAWA TIMUR, KAB. BONDOWOSO","TAPEN, TAPEN",DUSUN JATIAN,"-7.83837573, 113.93019952"
12,"JAWA TIMUR, KAB. BONDOWOSO","MAESAN, PAKUNIRAN",DUSUN PENDIL,"-8.0142853, 113.7921022"
13,"JAWA TIMUR, KAB. BONDOWOSO","CERMEE, BERCAK",BERCAK,"-7.77641333333333, 114.062661666667"
14,"JAWA TIMUR, KAB. BONDOWOSO","MAESAN, SUCOLOR",DUSUN ARJASA,"-8.03918123245239, 113.742935657501"
15,"JAWA TIMUR, KAB. BONDOWOSO","PUJER, KEJAYAN",KEJAYAN,"-7.962317, 113.873436"
16,"JAWA TIMUR, KAB. BONDOWOSO","PUJER, MENGOK",MENGOK,"-7.9754918, 113.8749244"
17,"JAWA TIMUR, KAB. BONDOWOSO","TAMANAN, KALIANYAR",DUSUN KRAJAN,"-7.9953321, 113.8260583"
18,"JAWA TIMUR, KAB. BONDOWOSO","MAESAN, SUMBERSARI",DUSUN KRAJAN II,"-8.0341432, 113.7792332"
19,"JAWA TIMUR, KAB. BONDOWOSO","CERMEE, RAMBAN WETAN",KRANANG,"-7.80433117, 114.02887533"
20,"JAWA TIMUR, KAB. BONDOWOSO","KLABANG, BESUK",BESUK,"-7.8195504, 113.9587344"
21,"JAWA TIMUR, KAB. BONDOWOSO","MAESAN, GAMBANGAN",DUSUN KRAJAN III,"-8.03048257716, 113.769407803193"
22,"JAWA TIMUR, KAB. BONDOWOSO","PUJER, SUKOWONO",SUKOWONO,"-8.00812166666667, 113.904365"
23,"JAWA TIMUR, KAB. BONDOWOSO","MAESAN, PUJER BARU",PUJER BARU,"-8.03315504, 113.76160894"
24,"JAWA TIMUR, KAB. BONDOWOSO","KLABANG, KARANG SENGON",KARANGSENGON,"-7.856136, 113.95519725"
25,"JAWA TIMUR, KAB. BONDOWOSO","PUJER, MASKUNING WETAN",MASKUNING WETAN,"-7.9873469, 113.8995043"
26,"JAWA TIMUR, KAB. BONDOWOSO","TAMAN KROCOK, TREBUNGAN",TREBUNGAN,"-7.89188425, 113.8524703"
27,"JAWA TIMUR, KAB. BONDOWOSO","WONOSARI, WONOSARI",DUSUN PLASAAN,"-7.88574916, 113.88568696"
28,"JAWA TIMUR, KAB. BONDOWOSO","WONOSARI, WONOSARI",WONOSARI,"-7.8778376, 113.8917502"
29,"JAWA TIMUR, KAB. GRESIK","MENGANTI, MENGANTI",MENGANTI,"-7.2917342, 112.5779419"
30,"JAWA TIMUR, KAB. BONDOWOSO","WONOSARI, PASAREJO",PASAREJO,"-7.90577493, 113.89348475"
31,"JAWA TIMUR, KAB. BONDOWOSO","WONOSARI, WONOSARI",DESA WONOSARI,"-7.8859777, 113.8937746"
32,"JAWA TIMUR, KAB. BONDOWOSO","TAPEN, CINDOGO",CINDOGO,"-7.86936101, 113.90067873"
33,"JAWA TIMUR, KAB. BONDOWOSO","TENGGARANG, BATAAN",BATAAN,"-7.91977168, 113.84277697"
34,"JAWA TIMUR, KAB. BONDOWOSO","TENGGARANG, BATAAN",DUSUN LUMBUNG II,"-7.9280386, 113.8429274"
35,"JAWA TIMUR, KAB. BONDOWOSO","TLOGOSARI, JEBUNG KIDUL",JEBUNG KIDUL,"-7.96355175, 113.92170866"
36,"JAWA TIMUR, KAB. BONDOWOSO","TLOGOSARI, BRAMBANG DARUSSALAM",BRAMBANG DARUSSALAM,"-8.0200829, 113.94910027"
37,"JAWA TIMUR, KAB. BONDOWOSO","TENGGARANG, LOJAJAR",LOJAJAR,"-7.94159666666667, 113.855531666667"
38,"JAWA TIMUR, KAB. BONDOWOSO","TLOGOSARI, GUNOSARI",GUNOSARI,"-8.0012975, 113.9891457"
39,"JAWA TIMUR, KAB. BONDOWOSO","TLOGOSARI, GUNOSARI",GUNOSARI,"-8.0028634, 113.9739056"
40,"JAWA TIMUR, KAB. BONDOWOSO","TLOGOSARI, PATEMON",PATEMON,"-7.96874166666667, 113.905865"
41,"JAWA TIMUR, KAB. BONDOWOSO","TENGGARANG, GEBANG",DUSUN LUMBUNG,"-7.9260542, 113.846018"
42,"JAWA TIMUR, KAB. BONDOWOSO","PUJER, MASKUNING KULON",MASKUNING KULON,"-7.98146418, 113.88973072"
43,"JAWA TIMUR, KAB. BONDOWOSO","TLOGOSARI, KEMBANG",KEMBANG,"-7.9987659, 113.9634974"
