No,"Propinsi, Kab/Kota","Kecamatan, Desa/Kel",Alamat,Koordinat
149,"JAWA TIMUR, KOTA SURABAYA","KREMBANGAN, KEMAYORAN",GRESIK PPI LANGGAR 16,"-7.233941, 112.7268541"
172,"JAWA TIMUR, KOTA SURABAYA","SEMAMPIR, PEGIRIAN",WONOSARI 3/24,"-7.2718232, 112.7618757"
300,"JAWA TIMUR, KOTA SURABAYA","GUBENG, MOJO",MOJOKLANGGRU LOR 80,"-7.26833773, 112.76890883"
536,"JAWA TIMUR, KOTA SURABAYA","MULYOREJO, MANYAR SABRANGAN",MANYARSABRANGAN 4/25,"-7.28757576, 112.76360124"
597,"JAWA TIMUR, KOTA SURABAYA","TAMBAKSARI, PLOSO",PLOSO 9/9,"-7.2521372, 112.7660014"
699,"JAWA TIMUR, KOTA SURABAYA","BUBUTAN, BUBUTAN",JL. TEMBAAN II/59,"-7.24679118487984, 112.733754264191"
726,"JAWA TIMUR, KOTA SURABAYA","KREMBANGAN, KREMBANGAN SELATAN",INDRAPURA NO.54,"-7.2718623, 112.7618922"
742,"JAWA TIMUR, KOTA SURABAYA","WIYUNG, JAJAR TUNGGAL",DK. GEMOL,"-7.72909229, 112.72293942"
749,"JAWA TIMUR, KOTA SURABAYA","SUKOLILO, KEPUTIH",KEPUTIH 3-C/32,"-7.29249088, 112.80031245"
804,"JAWA TIMUR, KOTA SURABAYA","GUBENG, MOJO",KEDUNG PENGKOL 1/48-C,"-7.264403877645005, 112.76425337089161"
823,"JAWA TIMUR, KOTA SURABAYA","BUBUTAN, BUBUTAN",TEMBOK GEDE 3/42 SURABAYA,"-7.25450966041535, 112.728745155036"
824,"JAWA TIMUR, KOTA SURABAYA","BUBUTAN, GUNDIH",BABADAN 9/7 SURABAYA,"-7.2446053, 112.7212824"
846,"JAWA TIMUR, KOTA SURABAYA","TAMBAKSARI, PLOSO",BOGEN NO.15-F,"-7.25067147, 112.75771241"
848,"JAWA TIMUR, KOTA SURABAYA","WIYUNG, JAJAR TUNGGAL",DK. GOGOR 3/62,"-7.31183282565325, 112.706981208175"
849,"JAWA TIMUR, KOTA SURABAYA","TAMBAKSARI, PLOSO",PLOSO 1/65,"-7.2525336, 112.7647105"
962,"JAWA TIMUR, KOTA SURABAYA","KENJERAN, TANAH KALI KEDINDING",,"-7.22960744, 112.78265468"
1125,"JAWA TIMUR, KOTA SURABAYA","TANDES, BALONGSARI",BALONGSARI PRAJA II/22,"-7.2656978, 112.6783809"
1129,"JAWA TIMUR, KOTA SURABAYA","TAMBAKSARI, PACARKELING",JEDONG 1/2,"-7.25517666666667, 112.76029"
1133,"JAWA TIMUR, KOTA SURABAYA","SEMAMPIR, PEGIRIAN",WONOKUSUMO KIDUL 29,"-7.22568333333333, 112.75236"
1581,"JAWA TIMUR, KOTA SURABAYA","BENOWO, SEMEMI",KENDUNG JAYA I/8,"-7.248884, 112.6339722"
1616,"JAWA TIMUR, KOTA SURABAYA","WONOKROMO, SAWUNGGALING",WONOSARI KIDUL GG. KELINCI 119-B,"-7.2932529, 112.7267507"
1621,"JAWA TIMUR, KOTA SURABAYA","SEMAMPIR, WONOKUSUMO",TENGGUMUNG WETAN 3/8,"-7.22307641, 112.75834599"
1626,"JAWA TIMUR, KOTA SURABAYA","TAMBAKSARI, PLOSO",KRAMPUNG TENGAH NO.2,"-7.2500167, 112.7582153"
1633,"JAWA TIMUR, KOTA SURABAYA","SEMAMPIR, PEGIRIAN",WONOKUSUMO KIDUL 29,"-7.225365, 112.752776666667"
1828,"JAWA TIMUR, KOTA SURABAYA","GUNUNG ANYAR, GUNUNG ANYAR TAMBAK",JL.GUNUNGANYAR TAMBAK II / 9.A,"-7.34479973, 112.80406099"
1864,"JAWA TIMUR, KOTA SURABAYA","WIYUNG, BALAS KLUMPRIK",KLUMPRIK,"-7.33104, 112.684095"
1932,"JAWA TIMUR, KOTA SURABAYA","KENJERAN, TANAH KALI KEDINDING",TANAH MERAH 2/26-A,"-7.23121563, 112.76835625"
1966,"JAWA TIMUR, KOTA SURABAYA","TEGALSARI, TEGALSARI",KEDONDONG 19,"-7.27192, 112.73892"
1973,"JAWA TIMUR, KOTA SURABAYA","ASEM ROWO, ASEM ROWO",TAMBAK DALAM BARU IB / 28,"-7.2481521, 112.7083234"
2001,"JAWA TIMUR, KOTA SURABAYA","SEMAMPIR, PEGIRIAN",WONOKUSUMO KIDUL 29,"-7.22570666666667, 112.752333333333"
2006,"JAWA TIMUR, KOTA SURABAYA","TAMBAKSARI, PACARKELING",GERSIKAN NO.12,"-7.2544227, 112.7619519"
2008,"JAWA TIMUR, KOTA SURABAYA","SEMAMPIR, PEGIRIAN",WONOSARI 8.,"-7.223385, 112.749445"
2013,"JAWA TIMUR, KOTA SURABAYA","SEMAMPIR, PEGIRIAN",WONOKUSUMO KIDUL 29,"-7.22541333333333, 112.752766666667"
